,Value,Description,Source
Latitude,35.0194271,,
Longitude,126.5505783,,
Altitude,73.186,,
Type,Tree root,,
Installed,10/18/25,,
Landcover_classification,Mixed Forest,Level-3 Land Cover Map,"The Environmental Geographic Information Service by the Ministry of Climate, Energy and Environment, Republic of Korea"
Clay_fraction,24.1,Korean Soil Information System Data,"National Institute of Agricultural Sciences under the Rural Development Administration, Republic of Korea"
Organic_carbon,1.1,Korean Soil Information System Data,"National Institute of Agricultural Sciences under the Rural Development Administration, Republic of Korea"
Sand_fraction,20.8,Korean Soil Information System Data,"National Institute of Agricultural Sciences under the Rural Development Administration, Republic of Korea"
Silt_fraction,55.1,Korean Soil Information System Data,"National Institute of Agricultural Sciences under the Rural Development Administration, Republic of Korea"
Climate_classification,Cfa,Koeppen-Geiger 2007,Koeppen-Geiger Climate Classification
Climate_classification,Cfa,Koeppen-Geiger 2017,Version 2017 Koeppen-Geiger Climate Classification
